Nome,ALG FTP,FM 23-24,FM 22-23,FM 21-22,attributi,Res. Inf.
LOVRIC,75/100,6.15,6.13,6.71,"['Titolare', 'Buona Media', 'Goleador']",60%
DOIG,61/100,nd,5.76,6.52,"['Titolare', 'Buona Media', 'Falloso', 'Giovane talento']",60%
MARIPAN,63/100,5.91,nd,nd,"['Titolare', 'Buona Media']",20%
KEAN,89/100,8.07,5.92,6.52,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista', 'Falloso']",80%
MORATA,81/100,6.79,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60%
DAVIS,63/100,6.40,5.88,nd,"['Panchinaro', 'Rigorista']",60%
SOHM,78/100,6.27,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60%
SMOLCIC,49/100,5.75,nd,nd,['Panchinaro'],60%
BONDO,51/100,5.77,5.78,5.50,['Titolare'],60%
PINSOGLIO,47/100,nd,nd,nd,"['Outsider', 'Panchinaro']",60%
BARTESAGHI,59/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",80%
EL,64/100,6.65,6.41,7.15,"['Panchinaro', 'Buona Media', 'Assistman']",60%
MILINKOVIC,98/100,5.51,5.21,4.89,"['Titolare', 'Rigorista']",60%
RICCI,75/100,6.03,5.89,6.30,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",60%
BEUKEMA,78/100,5.94,6.04,nd,"['Titolare', 'Goleador']",60%
HYSAJ,62/100,6.13,5.66,6.05,['Panchinaro'],60%
RUSSO,28/100,nd,nd,2.00,['Panchinaro'],60%
De Bruyne,78/100,nd,nd,nd,"['Fuoriclasse', 'Titolare', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",40%
HEGGEM,51/100,nd,nd,nd,['Panchinaro'],80%
BELTRAN,74/100,6.43,6.70,nd,"['Panchinaro', 'Rigorista']",60%
KEBASELE,57/100,6.37,5.80,nd,['Titolare'],60%
TRESSOLDI,43/100,nd,5.13,5.21,"['Panchinaro', 'Falloso']",60%
RANIERI,74/100,5.82,5.93,6.19,"['Titolare', 'Buona Media']",80%
CARBONI,70/100,nd,6.39,nd,"['Outsider', 'Titolare', 'Goleador', 'Piazzati', 'Giovane talento']",60%
BRADARIC,74/100,5.72,5.74,5.77,['Panchinaro'],60%
DARMIAN,72/100,6.42,6.21,6.19,"['Titolare', 'Buona Media', 'Assistman']",60%
DOMINGUEZ,57/100,6.83,nd,nd,"['Outsider', 'Panchinaro', 'Giovane talento']",60%
KELLY,63/100,5.63,nd,nd,"['Titolare', 'Buona Media']",40%
BUTEZ,76/100,5.18,nd,nd,['Titolare'],60%
LAZZARI,72/100,5.86,5.91,5.77,"['Titolare', 'Buona Media', 'Assistman']",80%
MANCINI,82/100,6.26,6.21,6.16,"['Titolare', 'Buona Media', 'Falloso']",80%
GOLLINI,47/100,3.58,4.86,5.21,['Panchinaro'],80%
BERISHA,52/100,nd,nd,nd,"['Outsider', 'Panchinaro']",60%
RENSCH,52/100,6.19,nd,nd,"['Panchinaro', 'Assistman', 'Falloso', 'Giovane talento']",40%
PEZZELLA,64/100,6.02,5.50,5.71,['Panchinaro'],60%
MARCHWINSKI,56/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",40%
SOMMER,74/100,5.35,5.65,nd,"['Titolare', 'Buona Media']",40%
AUDERO,56/100,3.64,5.67,4.88,['Titolare'],60%
TURATI,65/100,4.78,4.43,nd,"['Titolare', 'Buona Media']",80%
FRATTESI,74/100,6.83,7.00,6.79,"['Panchinaro', 'Buona Media', 'Goleador']",60%
FABBIAN,65/100,6.50,6.73,nd,"['Panchinaro', 'Goleador', 'Falloso', 'Giovane talento']",60%
GUENDOUZI,79/100,6.10,6.21,nd,"['Outsider', 'Titolare', 'Goleador', 'Assistman', 'Falloso']",60%
PIERINI,63/100,5.75,nd,nd,"['Outsider', 'Panchinaro', 'Buona Media', 'Goleador', 'Rigorista', 'Piazzati']",60%
DAVID,81/100,nd,nd,nd,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",80%
COLLOCOLO,63/100,nd,nd,nd,"['Outsider', 'Titolare', 'Goleador', 'Falloso']",60%
