NomeFCP,Ruolo,SquadraFCP,ALG,FM1,FM2,FM3,Attributi,ResInf
RRAHMANI ALBION,A,Venezia,63/100,nd,nd,nd,Titolare,60%
BALDE KEITA,A,Monza,63/100,nd,6.40,nd,Panchinaro | Goleador,60%
ALBARRACÍN AGUSTÍN,A,Cagliari,63/100,nd,nd,nd,Panchinaro | Giovane talento,60%
CAMBIAGHI NICOLO,A,Bologna,63/100,6.42,6.50,6.20,Outsider | Titolare | Buona Media | Giovane talento,60%
DALLINGA THIJS,A,Bologna,63/100,6.13,6.41,nd,Panchinaro,60%
DIAO ASSANE,A,Como,62/100,6.32,8.07,nd,Titolare | Goleador | Rigorista | Giovane talento,80%
TOURE EL BILAL,A,Atalanta,62/100,nd,nd,6.71,Panchinaro | Giovane talento,40%
GALAZZI NICOLAS,A,Monza,61/100,nd,nd,nd,Panchinaro | Assistman | Giovane talento,60%
SAVVA ZANOS,A,Torino,60/100,nd,nd,nd,Panchinaro | Giovane talento,40%
VARELA GUSTAVO,A,Monza,59/100,nd,nd,nd,Titolare | Giovane talento,60%
ALMQVIST PONTUS,A,Parma,59/100,6.06,5.67,6.16,Titolare,60%
BORRELLI GENNARO,A,Cagliari,58/100,6.46,nd,6.00,Panchinaro | Falloso,60%
TRAORE CHAKA,A,Milan,58/100,nd,nd,10.00,Panchinaro | Giovane talento,60%
OSEI ADDAI JAYDEN,A,Como,58/100,6.54,nd,nd,Panchinaro | Assistman | Giovane talento,40%
MORO LUCA,A,Sassuolo,57/100,5.50,nd,nd,Outsider | Panchinaro | Giovane talento,80%
ADORANTE ANDREA,A,Venezia,57/100,nd,nd,nd,Panchinaro,80%
GHEDJEMIS FARES,A,Frosinone,57/100,nd,nd,6.10,Titolare | Goleador | Piazzati,60%
EKHATOR OSAYUKI JEFF,A,Genoa,57/100,6.28,nd,nd,Panchinaro | Giovane talento,60%
BUKSA ADAM,A,Udinese,57/100,6.20,nd,nd,Titolare | Goleador,60%
ZARAGOZA BRYAN,A,Roma,57/100,6.00,nd,nd,Panchinaro | Assistman,60%
N'DRI KONAN,A,Lecce,56/100,6.09,5.86,nd,Panchinaro | Assistman | Piazzati,40%
NJIE ALIEU,A,Torino,56/100,6.15,6.27,nd,Outsider | Panchinaro | Giovane talento,60%
IBRAHIMOVIC ARIJON,A,Lazio,55/100,nd,nd,6.00,Panchinaro | Giovane talento,60%
MORATA ALVARO,A,Como,55/100,5.21,6.79,nd,Outsider | Titolare | Buona Media | Goleador | Rigorista,60%
PETAGNA ANDREA,A,Monza,55/100,nd,5.33,6.00,Panchinaro | Falloso,60%
SKJELLERUP LAURS,A,Sassuolo,54/100,nd,nd,nd,Panchinaro | Giovane talento,60%
KUHN NICOLAS-GERRIT,A,Como,54/100,6.25,nd,nd,Titolare | Goleador,60%
