NomeFCP,Ruolo,SquadraFCP,ALG,FM1,FM2,FM3,Attributi,ResInf
PAZ YEFERSON,D,Sassuolo,62/100,nd,nd,nd,Outsider | Panchinaro | Falloso | Giovane talento,80%
ROUHI JONAS JAKOB,D,Juventus,62/100,nd,nd,nd,Panchinaro | Giovane talento,80%
DRAGUSIN RADU,D,Fiorentina,62/100,nd,nd,6.45,Outsider | Titolare | Goleador | Giovane talento,60%
VALENTINI NICOLAS,D,Fiorentina,62/100,5.63,5.43,nd,Titolare,60%
NORTON-CUFFY BROOKE,D,Genoa,62/100,6.09,5.70,nd,Titolare | Giovane talento,60%
KABASELE CHRISTIAN,D,Udinese,62/100,6.14,6.37,5.80,Titolare,60%
MARIPAN GUILLERMO,D,Torino,62/100,6.07,5.91,nd,Titolare | Buona Media,20%
BERNASCONI LORENZO,D,Atalanta,62/100,6.16,nd,nd,Panchinaro | Assistman | Giovane talento,40%
,D,,N/A,N/A,N/A,N/A,,N/A
MANGAS RICARDO,D,Monza,61/100,nd,nd,nd,Titolare,60%
ZANOLI ALESSANDRO,D,Udinese,61/100,6.29,5.98,5.75,Titolare | Assistman,80%
CABAL JUAN,D,Juventus,61/100,6.56,6.25,5.71,Outsider | Panchinaro | Falloso | Giovane talento,60%
TROILO MARIANO,D,Parma,61/100,nd,nd,nd,Outsider | Titolare | Buona Media | Piazzati | Falloso | Giovane talento,80%
MARIO JOAO,D,Fiorentina,60/100,6.00,nd,nd,Outsider | Titolare | Buona Media | Giovane talento,80%
BIRINDELLI SAMUELE,D,Monza,60/100,nd,6.35,5.85,Titolare | Falloso | Giovane talento,60%
IDRISSI RIYAD,D,Cagliari,60/100,6.09,nd,nd,Titolare | Giovane talento,60%
,D,,N/A,N/A,N/A,N/A,,N/A
DARMIAN MATTEO,D,Inter,60/100,6.00,6.42,6.21,Titolare | Buona Media | Assistman,60%
POSCH STEFAN,D,Como,60/100,6.38,5.77,6.15,Titolare | Assistman,60%
PATRIC PATRICIO GABARRON,D,Lazio,60/100,5.75,5.93,6.29,Panchinaro,60%
ALHASSANE RAHIM,D,Bologna,59/100,nd,nd,nd,Panchinaro,60%
KOFLER RAPHAEL,D,Cagliari,59/100,nd,nd,nd,Titolare | Giovane talento,60%
MARIANUCCI LUCA,D,Torino,59/100,5.71,nd,nd,Panchinaro | Buona Media,60%
HEGGEM TORBJOR,D,Bologna,59/100,5.83,nd,nd,Panchinaro,80%
KOSSOUNOU ODILON,D,Atalanta,59/100,6.09,5.97,nd,Panchinaro | Giovane talento,60%
HALHAL REDOUANE,D,Venezia,58/100,nd,nd,nd,Titolare,60%
ACERBI FRANCESCO,D,Inter,58/100,5.97,6.18,6.56,Titolare | Buona Media,60%
VALENTI LAUTARO,D,Parma,58/100,5.83,5.85,nd,Panchinaro | Falloso,20%
PIERAGNOLO EDOARDO,D,Sassuolo,58/100,nd,nd,nd,Outsider | Panchinaro | Buona Media,80%
,D,,N/A,N/A,N/A,N/A,,N/A
DOIG JOSH,D,Sassuolo,58/100,5.76,nd,5.76,Titolare | Buona Media | Falloso | Giovane talento,60%
SIEBERT JAMIL,D,Lecce,58/100,5.75,nd,nd,Titolare | Falloso,60%
DA SILVA JOSE ZE PEDRO,D,Cagliari,58/100,5.68,nd,nd,Outsider | Panchinaro | Buona Media,60%
GARCIA ULISSES,D,Sassuolo,58/100,6.46,nd,nd,Titolare,60%
MODESTO RUI,D,Udinese,58/100,6.25,6.04,nd,Outsider | Titolare | Assistman,60%
BIRAGHI CRISTIANO,D,Torino,57/100,5.59,5.90,6.02,Titolare | Assistman | Rigorista | Piazzati,60%
BERTOLA NICOLO,D,Udinese,57/100,5.84,nd,nd,Titolare | Giovane talento,60%
ARIZALA JUAN,D,Udinese,57/100,nd,nd,nd,Outsider | Panchinaro | Assistman | Giovane talento,60%
KOUADIO EDDY,D,Monza,56/100,nd,nd,nd,Titolare | Buona Media | Giovane talento,60%
VITIK MARTIN,D,Bologna,56/100,5.86,nd,nd,Titolare | Buona Media | Falloso | Giovane talento,60%
ILIC MIHAJLO,D,Bologna,56/100,nd,nd,nd,Panchinaro | Giovane talento,60%
MASINA ADAM,D,Torino,56/100,5.63,6.14,5.81,Titolare | Falloso,60%
TSIMIKAS KONSTANTINOS,D,Roma,56/100,5.69,nd,nd,Panchinaro,60%
ZEMURA JORDAN,D,Udinese,56/100,5.77,6.00,6.00,Panchinaro,60%
BRACAGLIA GABRIELE,D,Frosinone,56/100,nd,nd,nd,Titolare,60%
CALVANI GABRIELE,D,Frosinone,56/100,nd,nd,nd,Titolare,60%
CARBONI ANDREA,D,Monza,55/100,nd,5.66,6.00,Titolare | Giovane talento,60%
MULLEN SENAN,D,Torino,55/100,nd,nd,nd,Panchinaro | Giovane talento,60%
ODENTHAL CAS,D,Sassuolo,55/100,nd,nd,nd,Titolare | Buona Media | Falloso,80%
GASPAR KIOLANDA,D,Lecce,54/100,5.64,6.13,nd,Titolare | Falloso | Giovane talento,60%
CASALE NICOLO',D,Bologna,54/100,5.65,5.50,5.56,Titolare,80%
,D,,N/A,N/A,N/A,N/A,,N/A
HAPS RIDGECIANO,D,Venezia,54/100,nd,6.03,6.00,Panchinaro,60%
BAKKER MITCHEL,D,Atalanta,54/100,nd,6.00,6.00,Panchinaro | Falloso,60%
PALACIOS TOMAS,D,Inter,54/100,nd,5.08,nd,Outsider | Panchinaro | Falloso,60%
GIGOT SAMUEL,D,Lazio,54/100,nd,6.70,nd,Panchinaro | Goleador,40%
HYSAJ ELSEID,D,Lazio,53/100,5.50,6.13,5.66,Panchinaro,60%
FORTINI NICCOLO',D,Fiorentina,53/100,5.96,nd,nd,Outsider | Panchinaro | Giovane talento,60%
ODOGU DAVID,D,Milan,53/100,nd,nd,nd,Panchinaro | Giovane talento,80%
DEMBELÉ ALI,D,Torino,53/100,5.00,5.89,nd,Panchinaro | Giovane talento,60%
HELLAND EIVIND,D,Bologna,53/100,5.43,nd,nd,Outsider | Panchinaro | Falloso | Giovane talento,60%
LUCCHESI LORENZO,D,Monza,52/100,nd,nd,nd,Panchinaro,60%
OTOA SEBASTIAN,D,Genoa,52/100,5.41,4.67,nd,Panchinaro | Giovane talento,60%
NDIAYE ABDOULAYE,D,Parma,52/100,5.36,nd,nd,Outsider | Titolare | Goleador | Giovane talento,60%
RODRIGUEZ JUAN,D,Cagliari,52/100,5.72,nd,nd,Panchinaro | Giovane talento,80%
TOURE ISSAK,D,Udinese,52/100,nd,5.35,nd,Panchinaro | Giovane talento,60%
NKOUNKOU NIELS PATRICK,D,Torino,51/100,5.81,nd,nd,Outsider | Panchinaro,60%
OYONO ANTHONY,D,Frosinone,51/100,nd,nd,5.75,Titolare,40%
,D,,N/A,N/A,N/A,N/A,,N/A
LIGUE JUNIOR,D,Venezia,51/100,nd,nd,nd,Panchinaro | Giovane talento,60%
CANDÈ FALI,D,Sassuolo,50/100,5.56,5.84,nd,Panchinaro | Falloso,60%
BONFANTI GIOVANNI,D,Atalanta,50/100,5.56,nd,nd,Panchinaro | Buona Media | Giovane talento,60%
HAINAUT ANTOINE,D,Venezia,50/100,nd,nd,nd,Panchinaro | Falloso | Giovane talento,40%
ROMAGNA FILIPPO,D,Sassuolo,50/100,5.70,nd,nd,Panchinaro,60%
RATERINK OTHNIËL,D,Cagliari,49/100,nd,nd,nd,Panchinaro,60%
CUENCA ANDRÉS,D,Como,49/100,nd,nd,nd,Panchinaro,60%
SVERKO MARIN,D,Venezia,49/100,nd,5.86,nd,Panchinaro | Falloso,60%
GOLDANIGA EDOARDO,D,Como,49/100,nd,5.72,5.54,Panchinaro | Falloso,60%
JEAN GABY,D,Lecce,49/100,5.67,5.75,nd,Titolare,60%
AKPOGUMA KEVIN,D,Frosinone,49/100,nd,nd,nd,Panchinaro,60%
CORREIA THIERRY,D,Venezia,48/100,nd,nd,nd,Panchinaro,60%
DE SILVESTRI LORENZO,D,Bologna,48/100,5.95,6.10,6.77,Panchinaro,80%
SAGRADO RICHIE,D,Venezia,48/100,nd,5.33,nd,Titolare | Falloso | Giovane talento,40%
,D,,N/A,N/A,N/A,N/A,,N/A
BAKOUNE ADAM,D,Monza,47/100,nd,nd,nd,Panchinaro,60%
NDABA CORRIE RICHARD,D,Lecce,47/100,5.50,nd,nd,Panchinaro,60%
DELLI CARRI FILIPPO,D,Monza,47/100,nd,nd,nd,Panchinaro | Giovane talento,80%
MONTERISI ILARIO,D,Frosinone,46/100,nd,nd,6.25,Panchinaro | Giovane talento,60%
BRORSSON ARVID,D,Monza,46/100,nd,5.38,nd,Outsider | Panchinaro | Giovane talento,60%
GOGLICHIDZE SABA,D,Udinese,46/100,5.58,5.69,nd,Panchinaro | Giovane talento,60%
BELLA-KOTCHAP ARMEL,D,Venezia,46/100,5.75,nd,nd,Panchinaro | Giovane talento,20%
FRANJIC BARTOL,D,Venezia,46/100,nd,nd,nd,Panchinaro,60%
ANTOV VALENTIN,D,Monza,45/100,nd,nd,nd,Panchinaro,60%
UBANI MARLON,D,Lecce,45/100,nd,nd,nd,Panchinaro | Giovane talento,80%
KALAJ SERGIO,D,Frosinone,45/100,nd,nd,nd,Panchinaro,60%
OYONO JÉRÉMY,D,Frosinone,45/100,nd,nd,nd,Panchinaro,60%
CORRADO NICCOLÒ,D,Frosinone,45/100,nd,nd,nd,Panchinaro,60%
KOUASSI CHRIST-OWEN,D,Lecce,44/100,5.50,nd,nd,Panchinaro | Buona Media | Falloso | Giovane talento,80%
ALTARE GIORGIO,D,Venezia,44/100,nd,5.75,nd,Titolare | Falloso,80%
AMEY WISDOM,D,Frosinone,43/100,nd,nd,nd,Panchinaro | Giovane talento,80%
SCHINGTIENNE JOEL,D,Venezia,43/100,nd,5.63,nd,Panchinaro | Giovane talento,60%
SAZONOV SABA,D,Torino,42/100,nd,5.00,5.69,Panchinaro | Falloso | Giovane talento,60%
CITTADINI GIORGIO,D,Frosinone,41/100,nd,nd,5.75,Panchinaro | Giovane talento,40%
MORENO MATIAS,D,Venezia,40/100,nd,5.67,nd,Panchinaro | Giovane talento,60%
ZIOLKOWSKI JAN,D,Roma,39/100,5.78,nd,nd,Outsider | Panchinaro | Falloso | Giovane talento,80%
PEREZ MATIAS,D,Lecce,32/100,5.00,nd,nd,Panchinaro,60%
VIERY FERNANDES,D,Fiorentina,0/100,nd,nd,nd,Panchinaro | Giovane talento,60%
VALDEPEÑAS VÍCTOR,D,Fiorentina,0/100,nd,nd,nd,Titolare | Giovane talento,60%
PAZ NICO,C,Como,98/100,7.30,6.89,nd,Fuoriclasse | Titolare | Buona Media | Goleador | Assistman | Rigorista | Piazzati | Giovane talento,60%
DA CUNHA LUCAS,C,Como,96/100,6.91,6.38,nd,Titolare | Buona Media | Piazzati,60%
SAELEMAEKERS ALEXIS,C,Milan,94/100,6.41,7.36,6.54,Outsider | Titolare | Buona Media | Goleador | Assistman,80%
GAETANO GIANLUCA,C,Atalanta,93/100,6.31,6.42,6.88,Outsider | Titolare | Buona Media | Goleador | Assistman | Rigorista | Piazzati,60%
BARELLA NICOLO',C,Inter,93/100,6.71,6.65,6.59,Fuoriclasse | Titolare | Buona Media,80%
PULISIC CHRISTIAN,C,Milan,93/100,7.07,7.47,7.44,Fuoriclasse | Titolare | Goleador | Rigorista | Piazzati,60%
DE KETELAERE CHARLES,C,Atalanta,92/100,6.60,7.02,7.39,Fuoriclasse | Panchinaro | Goleador | Assistman | Piazzati | Falloso | Giovane talento,60%
ORSOLINI RICCARDO,C,Bologna,92/100,6.76,8.19,7.19,Fuoriclasse | Titolare | Buona Media | Goleador | Rigorista | Piazzati,40%
LOCATELLI MANUEL,C,Juventus,91/100,6.19,6.27,5.96,Titolare | Buona Media | Goleador,60%
VLASIC NIKOLA,C,Torino,90/100,6.66,6.67,6.19,Titolare | Buona Media | Assistman,60%
RABIOT ADRIEN,C,Milan,88/100,6.95,nd,6.52,Titolare | Buona Media | Goleador,60%
MCTOMINAY SCOTT,C,Napoli,88/100,7.26,7.70,nd,Fuoriclasse | Titolare | Goleador | Piazzati,60%
ZIELINSKI PIOTR,C,Inter,87/100,6.77,6.34,6.33,Outsider | Titolare | Buona Media | Goleador,60%
PASALIC MARIO,C,Atalanta,86/100,6.27,6.14,6.82,Titolare | Buona Media | Goleador | Rigorista,60%
MCKENNIE WESTON,C,Juventus,86/100,6.64,6.22,6.33,Panchinaro | Buona Media | Falloso,60%
GUDMUNDSSON ALBERT,C,Fiorentina,86/100,6.34,6.65,7.70,Outsider | Titolare | Buona Media | Goleador | Assistman | Rigorista | Falloso,80%
THURAM KHEPHREN,C,Juventus,86/100,6.40,6.75,nd,Titolare | Buona Media | Falloso,80%
CRISTANTE BRYAN,C,Roma,86/100,6.22,6.63,6.37,Titolare | Buona Media,60%
POLITANO MATTEO,C,Napoli,85/100,6.36,6.47,6.96,Titolare | Buona Media | Goleador | Piazzati,80%
MKHITARYAN HENRIKH,C,Inter,85/100,6.59,6.34,6.70,Fuoriclasse | Titolare | Buona Media | Assistman,40%
LOBOTKA STANISLAV,C,Napoli,85/100,6.10,6.09,5.92,Fuoriclasse | Titolare | Buona Media,60%
DE BRUYNE KEVIN,C,Napoli,83/100,7.24,nd,nd,Fuoriclasse | Titolare | Goleador | Assistman | Rigorista | Piazzati,40%
NERES DAVID,C,Napoli,83/100,6.84,6.75,nd,Outsider | Titolare | Assistman | Piazzati,60%
EDERSON DOS SANTOS,C,Atalanta,83/100,6.43,6.53,6.59,Outsider | Titolare | Buona Media | Goleador | Assistman,80%
FRENDRUP MORTEN,C,Genoa,83/100,5.97,6.03,6.41,Titolare | Buona Media | Falloso,60%
ADOPO MICHEL,C,Cagliari,82/100,5.88,5.91,6.00,Titolare,60%
HENRIQUE LUIS,C,Inter,81/100,6.04,nd,nd,Outsider | Titolare | Buona Media | Assistman,80%
BATURINA MARTIN,C,Como,81/100,7.12,nd,nd,Titolare | Goleador | Assistman | Piazzati | Falloso | Giovane talento,60%
,C,,N/A,N/A,N/A,N/A,,N/A
PERRONE MAXIMO,C,Como,81/100,6.47,5.94,nd,Titolare | Falloso,60%
COLPANI ANDREA,C,Monza,79/100,nd,6.05,6.97,Outsider | Titolare | Buona Media | Goleador | Giovane talento,60%
CALHANOGLU HAKAN,C,Inter,79/100,7.64,7.02,7.83,Titolare | Buona Media | Goleador | Assistman | Rigorista | Piazzati,80%
,C,,N/A,N/A,N/A,N/A,,N/A
ORISTANIO GAETANO,C,Parma,78/100,5.92,6.39,6.39,Outsider | Titolare | Goleador | Falloso | Giovane talento,60%
BERNABE ADRIAN,C,Parma,78/100,6.48,6.47,nd,Outsider | Titolare | Buona Media | Goleador | Assistman | Rigorista | Piazzati | Giovane talento,60%
,C,,N/A,N/A,N/A,N/A,,N/A
DE ROON MARTEN,C,Atalanta,78/100,6.00,6.60,5.97,Titolare | Buona Media,80%
FOFANA YOUSSOUF,C,Milan,78/100,6.06,6.24,nd,Titolare | Buona Media | Assistman,60%
ZANIOLO NICOLO',C,Udinese,78/100,6.77,6.22,nd,Titolare | Buona Media | Assistman,60%
MALINOVSKYI RUSLAN,C,Genoa,77/100,6.51,6.50,6.50,Titolare | Buona Media | Goleador | Assistman | Rigorista | Piazzati,80%
SUCIC PETAR,C,Inter,77/100,6.27,nd,nd,Panchinaro | Buona Media | Giovane talento,80%
THORSTVEDT KRISTIAN,C,Sassuolo,76/100,6.47,nd,6.41,Titolare | Buona Media | Goleador,40%
ZACCAGNI MATTIA,C,Lazio,76/100,5.96,6.95,6.54,Fuoriclasse | Titolare | Buona Media | Goleador | Assistman | Rigorista,80%
STREFEZZA GABRIEL,C,Parma,76/100,6.57,6.71,5.87,Titolare | Assistman | Piazzati,60%
KOOPMEINERS TEUN,C,Juventus,76/100,5.55,6.41,7.63,Titolare | Buona Media | Piazzati | Falloso,60%
ATTA ARTHUR,C,Fiorentina,76/100,6.88,5.89,nd,Panchinaro | Goleador | Rigorista | Giovane talento,60%
FAGIOLI NICOLÒ,C,Fiorentina,75/100,6.23,6.04,6.00,Titolare | Buona Media | Assistman | Piazzati,60%
RICCI SAMUELE,C,Milan,75/100,6.16,6.03,5.89,Outsider | Titolare | Buona Media | Giovane talento,60%
BRESCIANINI MARCO,C,Fiorentina,74/100,6.29,6.43,6.47,Outsider | Panchinaro | Goleador | Piazzati,60%
CAQUERET MAXENCE,C,Como,74/100,6.38,6.82,nd,Titolare | Assistman,60%
MALDINI DANIEL,C,Atalanta,74/100,6.31,6.66,6.73,Outsider | Panchinaro,60%
CASADEI CESARE,C,Torino,74/100,6.45,6.27,nd,Outsider | Titolare | Buona Media | Assistman,80%
MODRIC LUKA,C,Milan,74/100,6.67,nd,nd,Fuoriclasse | Titolare | Assistman | Rigorista | Piazzati,60%
EL AYNAOUI NEIL,C,Roma,74/100,6.10,nd,nd,Outsider | Titolare | Buona Media | Goleador,80%
KONÈ ISMAEL,C,Sassuolo,74/100,6.63,nd,nd,Titolare,60%
DELE-BASHIRU FISAYO,C,Lazio,74/100,5.83,6.63,nd,Outsider | Panchinaro | Goleador | Giovane talento,60%
ROWE JONATHAN DAVID HENRY,C,Bologna,74/100,6.62,nd,nd,Outsider | Titolare | Goleador | Giovane talento,60%
EKKELENKAMP JURGEN PETER,C,Udinese,74/100,6.61,6.31,nd,Panchinaro,60%
VERGARA ANTONIO,C,Napoli,74/100,6.50,nd,nd,Outsider | Titolare | Giovane talento,60%
PELLEGRINI LORENZO,C,Roma,73/100,6.58,5.89,6.91,Panchinaro | Assistman | Rigorista | Piazzati,60%
NDOUR CHER,C,Fiorentina,73/100,6.07,5.64,nd,Outsider | Panchinaro | Goleador | Giovane talento,60%
KONE MANU,C,Roma,73/100,6.53,6.38,nd,Titolare | Buona Media,40%
PISILLI NICCOLO,C,Roma,72/100,6.52,6.13,nd,Panchinaro | Giovane talento,60%
BERNARDESCHI FEDERICO,C,Bologna,72/100,6.52,nd,nd,Panchinaro,60%
CATALDI DANILO,C,Lazio,71/100,6.41,6.43,5.95,Titolare,60%
ELLERTSSON MIKAEL EGILL,C,Genoa,71/100,5.91,6.20,nd,Titolare | Piazzati | Giovane talento,60%
SOTTIL RICCARDO,C,Lecce,71/100,6.24,6.12,6.44,Titolare | Assistman | Falloso,40%
ANGUISSA ANDRÈ FRANK ZAMBO,C,Napoli,71/100,6.86,7.05,5.85,Titolare | Buona Media,60%
KEITA MANDELA,C,Parma,71/100,6.06,5.66,nd,Titolare | Falloso | Giovane talento,60%
LAHDO ADRIAN,C,Como,70/100,nd,nd,nd,Titolare | Buona Media | Assistman | Giovane talento,60%
POBEGA TOMMASO,C,Bologna,70/100,6.17,6.25,5.93,Panchinaro | Buona Media | Falloso,60%
ZERBIN ALESSIO,C,Frosinone,70/100,5.79,6.11,5.93,Panchinaro | Goleador | Giovane talento,60%
BALDANZI TOMMASO,C,Genoa,70/100,6.36,5.95,6.28,Outsider | Panchinaro | Buona Media | Goleador | Giovane talento,60%
,C,,N/A,N/A,N/A,N/A,,N/A
CALÒ GIACOMO,C,Frosinone,70/100,nd,nd,nd,Outsider | Titolare | Buona Media | Goleador | Piazzati,60%
RAMADANI YLBER,C,Lecce,70/100,5.85,5.92,5.73,Titolare | Falloso,60%
FABBIAN GIOVANNI,C,Fiorentina,69/100,6.05,6.50,6.73,Panchinaro | Goleador | Falloso | Giovane talento,60%
SAMARDZIC LAZAR,C,Atalanta,69/100,6.29,6.28,6.77,Outsider | Titolare | Buona Media | Goleador | Assistman | Piazzati | Giovane talento,60%
MESSIAS JUNIOR,C,Genoa,69/100,6.68,6.03,6.38,Panchinaro | Assistman | Rigorista | Piazzati,60%
STANKOVI? ALEKSANDAR,C,Inter,69/100,nd,nd,nd,Titolare | Buona Media | Assistman | Giovane talento,60%
NICOLUSSI CAVIGLIA HANS,C,Parma,69/100,6.02,6.53,6.00,Outsider | Titolare | Buona Media | Goleador | Piazzati | Giovane talento,60%
ODGAARD JENS,C,Bologna,68/100,6.61,nd,nd,Outsider | Titolare | Goleador,60%
MORO NIKOLA,C,Bologna,68/100,6.12,6.03,6.22,Panchinaro,40%
KARLSTROM JESPER,C,Udinese,68/100,5.96,5.79,nd,Titolare | Buona Media,60%
COULIBALY LASSANA,C,Lecce,68/100,6.29,6.03,5.66,Panchinaro | Buona Media,60%
FERGUSON LEWIS,C,Bologna,67/100,5.77,6.39,6.97,Titolare | Falloso,20%
ZHEGROVA EDON,C,Juventus,67/100,5.88,nd,nd,Outsider | Titolare | Buona Media,40%
GANDELMAN OMRI,C,Lecce,67/100,6.44,nd,nd,Panchinaro | Goleador,60%
GILMOUR BILLY,C,Napoli,67/100,6.27,6.06,nd,Panchinaro | Buona Media | Falloso,60%
DIOUF ANDY ALUNE,C,Inter,66/100,6.41,nd,nd,Panchinaro | Assistman | Giovane talento,80%
LOFTUS-CHEEK RUBEN,C,Milan,66/100,6.52,5.76,6.73,Panchinaro | Buona Media,60%
PESSINA MATTEO,C,Monza,65/100,nd,5.95,6.50,Titolare | Buona Media | Assistman | Piazzati,60%
FADERA ALIEU,C,Como,65/100,6.15,6.02,nd,Outsider | Panchinaro | Assistman | Giovane talento,60%
FRATTESI DAVIDE,C,Inter,65/100,5.89,6.83,7.00,Panchinaro | Buona Media | Goleador,60%
KOSTIC FILIP,C,Juventus,64/100,7.20,nd,6.00,Panchinaro | Assistman | Falloso,40%
AKINSANMIRO EBENEZER,C,Monza,64/100,5.80,nd,nd,Titolare,80%
PIOTROWSKI JAKUB,C,Udinese,64/100,5.95,nd,nd,Outsider | Panchinaro,60%
SORENSEN JENSEN OLIVIER,C,Parma,64/100,5.95,nd,nd,Outsider | Titolare,60%
TAYLOR KENNETH,C,Lazio,64/100,6.47,nd,nd,Titolare | Goleador,60%
DUNCAN ALFRED,C,Venezia,63/100,nd,5.79,6.50,Titolare | Piazzati,40%
MIRETTI FABIO,C,Juventus,63/100,6.20,6.42,5.92,Panchinaro | Giovane talento,60%
PRATI MATTEO,C,Cagliari,63/100,5.88,5.80,5.94,Titolare | Piazzati | Giovane talento,60%
GINEITIS GVIDAS,C,Torino,63/100,5.81,6.22,6.20,Titolare | Giovane talento,60%
BAYEYE BRIAN JEPHTE,C,Torino,63/100,nd,nd,nd,Panchinaro,60%
ILKHAN EMIRHAN,C,Torino,63/100,6.00,nd,nd,Panchinaro | Goleador | Assistman | Piazzati | Giovane talento,60%
MILLA LUIS,C,Como,62/100,nd,nd,nd,Titolare,60%
MATIC NEMANJA,C,Sassuolo,62/100,5.94,nd,nd,Titolare | Buona Media | Assistman | Falloso,60%
VOLPATO CRISTIAN,C,Sassuolo,62/100,6.45,nd,6.03,Panchinaro | Buona Media | Assistman | Piazzati | Giovane talento,80%
LIBERALI MATTIA,C,Como,61/100,nd,nd,nd,Titolare | Giovane talento,60%
ESTEVEZ NAHUEL,C,Parma,61/100,5.78,5.71,nd,Panchinaro | Falloso,60%
DEIOLA ALESSANDRO,C,Cagliari,61/100,5.95,6.17,5.40,Panchinaro,40%
MARCHWINSKI FILIP,C,Lecce,61/100,nd,nd,nd,Panchinaro | Giovane talento,40%
BUSIO GIANLUCA,C,Venezia,61/100,nd,5.90,nd,Titolare | Giovane talento,60%
BASIC TOMA,C,Venezia,61/100,6.40,nd,5.35,Panchinaro | Falloso,80%
AMONDARAIN MIKEL,C,Bologna,60/100,nd,nd,nd,Panchinaro | Giovane talento,60%
RISPOLI FABIO,C,Como,60/100,nd,nd,nd,Titolare | Giovane talento,60%
ROVELLA NICOLO,C,Lazio,60/100,5.68,6.02,6.08,Panchinaro | Buona Media | Piazzati | Giovane talento,60%
JASHARI ARDON,C,Milan,60/100,5.79,nd,nd,Outsider | Titolare | Buona Media | Assistman,100%
FELICI MATTIA,C,Cagliari,60/100,6.55,5.97,nd,Outsider | Panchinaro | Goleador,60%
CICHELLA MATTEO,C,Frosinone,60/100,nd,nd,nd,Titolare | Giovane talento,60%
SOHM SIMON,C,Venezia,59/100,5.63,6.27,nd,Outsider | Titolare | Buona Media | Assistman,60%
ORDONEZ CHRISTIAN NAHUEL,C,Parma,59/100,5.81,nd,nd,Panchinaro | Buona Media | Assistman | Giovane talento,60%
WINKS HARRY,C,Cagliari,59/100,nd,nd,nd,Titolare | Buona Media | Falloso,60%
MASINI PATRIZIO,C,Genoa,59/100,5.90,nd,nd,Titolare | Buona Media,60%
SULEMANA IBRAHIM,C,Cagliari,59/100,5.79,7.08,6.13,Panchinaro | Giovane talento,80%
LELLA NUNZIO,C,Venezia,59/100,nd,nd,nd,Panchinaro | Giovane talento,60%
COLOMBO LEONARDO,C,Monza,58/100,nd,nd,nd,Panchinaro | Giovane talento,60%
CORNET MAXWEL,C,Genoa,58/100,4.50,7.25,nd,Panchinaro | Goleador,60%
BOLOCA DANIEL,C,Sassuolo,58/100,5.75,nd,5.81,Outsider | Titolare | Falloso,60%
LIPANI LUCA,C,Sassuolo,57/100,5.90,nd,5.92,Outsider | Titolare | Giovane talento,60%
DAGASSO MATTEO,C,Venezia,57/100,nd,nd,nd,Panchinaro,60%
ROMANO ALESSANDRO,C,Cagliari,57/100,nd,nd,nd,Panchinaro | Giovane talento,60%
PERCIUN SERGIU,C,Torino,57/100,nd,nd,nd,Outsider | Panchinaro | Giovane talento,60%
LITETA JOSEPH,C,Cagliari,57/100,nd,nd,nd,Panchinaro | Giovane talento,60%
KOUTSOUPIAS ILIAS,C,Frosinone,57/100,nd,nd,nd,Titolare,60%
CIURRIA PATRICK,C,Monza,56/100,nd,6.00,5.86,Panchinaro | Buona Media | Assistman,60%
TAMEZE ADRIEN,C,Torino,56/100,5.59,5.81,5.76,Panchinaro | Falloso,80%
FAZZINI JACOPO,C,Cagliari,56/100,5.83,7.03,5.98,Outsider | Panchinaro | Buona Media | Goleador | Piazzati,80%
ILIC IVAN,C,Torino,55/100,5.88,5.93,6.41,Panchinaro,60%
BELAHYANE REDA,C,Lazio,55/100,5.82,5.58,6.00,Titolare | Buona Media | Giovane talento,60%
BEGIC TJAS,C,Parma,55/100,nd,nd,nd,Panchinaro,60%
VRANKX ASTER,C,Sassuolo,55/100,5.57,nd,nd,Panchinaro | Goleador | Piazzati,60%
MILLER LENNON LEE,C,Udinese,55/100,5.93,nd,nd,Titolare | Buona Media | Assistman | Piazzati | Falloso | Giovane talento,80%
NGOM OUMAR,C,Lecce,55/100,5.64,nd,nd,Panchinaro | Giovane talento,60%
ANJORIN TINO,C,Torino,55/100,5.72,6.57,nd,Outsider | Titolare | Assistman,60%
EL HADDAD SAAD,C,Venezia,55/100,nd,nd,nd,Panchinaro | Giovane talento,60%
YEBOAH JOHN,C,Venezia,54/100,nd,5.94,nd,Panchinaro,60%
ONDREJKA JACOB,C,Parma,53/100,5.63,7.85,nd,Panchinaro | Goleador | Assistman,20%
EL AZZOUZI OUSSAMA,C,Bologna,53/100,nd,nd,7.06,Panchinaro,60%
CUENCA HUGO,C,Genoa,52/100,nd,nd,nd,Panchinaro | Giovane talento,40%
SALA HERRERO ÁLEX,C,Lecce,52/100,6.00,nd,nd,Panchinaro | Goleador | Falloso,60%
ZARRAGA OIER,C,Udinese,52/100,5.70,5.94,6.93,Panchinaro | Buona Media,60%
FORSON OMARI,C,Monza,52/100,nd,5.70,nd,Panchinaro | Giovane talento,60%
ADZIC VASILIJE,C,Juventus,52/100,6.88,6.00,nd,Panchinaro | Giovane talento,60%
BOHINEN EMIL,C,Venezia,52/100,nd,5.00,5.82,Panchinaro,80%
PEREZ KIKE,C,Venezia,51/100,nd,6.16,nd,Panchinaro | Falloso,60%
IANNONI EDOARDO,C,Sassuolo,51/100,6.50,nd,nd,Panchinaro | Buona Media,80%
ONANA JEAN,C,Genoa,50/100,5.75,5.79,nd,Panchinaro,80%
