Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,Rigori,RigoriParati,Assist,Ammonizioni,Espulsioni
Castro S.,BOL,33.0,6.17,6.76,8.0,0.0,0 / 1,0.0,4.0,8.0,0.0
Piccoli,CAG,37.0,6.0,6.76,10.0,0.0,1 / 1,0.0,1.0,6.0,0.0
Adams C.,TOR,35.0,6.0,6.76,9.0,0.0,0 / 1,0.0,4.0,3.0,0.0
Brenner,UDI,6.0,5.92,6.75,1.0,0.0,0 / 0,0.0,2.0,0.0,0.0
Iling Junior,BOL,4.0,6.0,6.75,1.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Gimenez,MIL,12.0,5.88,6.75,5.0,0.0,0 / 1,0.0,1.0,3.0,1.0
Douvikas,COM,12.0,6.21,6.75,2.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Thuram K.,JUV,33.0,6.3,6.74,4.0,0.0,0 / 0,0.0,5.0,5.0,0.0
Frattesi,INT,23.0,6.02,6.72,5.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Brescianini,ATA,23.0,6.13,6.72,4.0,0.0,0 / 0,0.0,2.0,1.0,0.0
Neres,NAP,25.0,6.32,6.72,2.0,0.0,0 / 0,0.0,5.0,2.0,0.0
El Shaarawy,ROM,21.0,6.19,6.71,3.0,0.0,0 / 0,0.0,3.0,2.0,0.0
Tengstedt,VER,23.0,5.91,6.7,6.0,0.0,1 / 1,0.0,1.0,2.0,0.0
Gigot,LAZ,10.0,6.2,6.7,2.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Weah,JUV,26.0,6.13,6.69,5.0,0.0,0 / 0,0.0,1.0,4.0,0.0
Paredes,ROM,20.0,6.28,6.68,3.0,0.0,2 / 2,0.0,1.0,4.0,0.0
Pinamonti,GEN,36.0,5.96,6.68,10.0,0.0,0 / 1,0.0,1.0,4.0,0.0
Cutrone,COM,33.0,6.02,6.67,7.0,0.0,0 / 1,0.0,4.0,1.0,0.0
