NomeGaz,SquadraGaz,SquadraNome,Ruolo,QI,QA,FVM,M_QI,M_QA,M_FVM
Vogliacco,GENOA,Genoa,D,1,1,2,1,1,2
Matturro,GENOA,Genoa,D,1,1,2,1,1,2
Di Gennaro,INTER,Inter,P,1,1,1,1,1,1
Pinsoglio,JUVENTUS,Juventus,P,1,1,1,1,1,1
Rugani,JUVENTUS,Juventus,D,1,1,3,1,1,3
Cabal,JUVENTUS,Juventus,D,1,1,4,1,1,4
Motta,LAZIO,Lazio,P,1,1,1,1,1,1
Renzetti,LAZIO,Lazio,P,1,1,1,1,1,1
Patric,LAZIO,Lazio,D,1,1,4,1,1,4
Belahyane,LAZIO,Lazio,C,1,1,5,1,1,5
Przyborek,LAZIO,Lazio,C,1,1,5,1,1,5
Fruchtl,LECCE,Lecce,P,1,1,1,1,1,1
Samooja,LECCE,Lecce,P,1,1,1,1,1,1
Perez M.,LECCE,Lecce,D,1,1,1,1,1,1
Ndaba,LECCE,Lecce,D,1,1,4,1,1,4
Gorter,LECCE,Lecce,C,1,1,3,1,1,3
Kaba,LECCE,Lecce,C,1,1,2,1,1,2
Fofana Sa.,LECCE,Lecce,C,1,1,1,1,1,1
Terracciano,MILAN,Milan,P,1,1,1,1,1,1
Torriani,MILAN,Milan,P,1,1,1,1,1,1
Pizzignacco,MONZA,Monza,P,1,1,1,1,1,1
Strajnar,MONZA,Monza,P,1,1,1,1,1,1
Antov,MONZA,Monza,D,1,1,2,1,1,2
Bakoune,MONZA,Monza,D,1,1,4,1,1,4
Contini,NAPOLI,Napoli,P,1,1,1,1,1,1
Marianucci,NAPOLI,Napoli,D,1,1,5,1,1,5
Mazzocchi,NAPOLI,Napoli,D,1,1,3,1,1,3
Corvi,PARMA,Parma,P,1,1,1,1,1,1
Ndiaye,PARMA,Parma,D,1,1,4,1,1,4
Carboni F.,PARMA,Parma,D,1,1,3,1,1,3
Cremaschi,PARMA,Parma,C,1,1,3,1,1,3
De Marzi,ROMA,Roma,P,1,1,1,1,1,1
Gollini,ROMA,Roma,P,1,1,1,1,1,1
Ziolkowski,ROMA,Roma,D,1,1,2,1,1,2
Vaz,ROMA,Roma,A,1,1,4,1,1,3
Russo A.,SASSUOLO,Sassuolo,P,1,1,1,1,1,1
Turati,SASSUOLO,Sassuolo,P,1,1,3,1,1,3
Missori,SASSUOLO,Sassuolo,D,1,1,2,1,1,2
Pieragnolo,SASSUOLO,Sassuolo,D,1,1,1,1,1,1
Iannoni,SASSUOLO,Sassuolo,C,1,1,1,1,1,1
Moro L.,SASSUOLO,Sassuolo,A,1,1,1,1,1,1
Mascardi,TORINO,Torino,P,1,1,1,1,1,1
Paleari,TORINO,Torino,P,1,1,1,1,1,1
Siviero,TORINO,Torino,P,1,1,1,1,1,1
Ilic,TORINO,Torino,C,1,1,4,1,1,4
Anjorin,TORINO,Torino,C,1,1,4,1,1,4
Padelli,UDINESE,Udinese,P,1,1,1,1,1,1
Piana,UDINESE,Udinese,P,1,1,1,1,1,1
Mlacic,UDINESE,Udinese,D,1,1,3,1,1,3
Abankwah,UDINESE,Udinese,D,1,1,3,1,1,3
Camara A.,UDINESE,Udinese,C,1,1,3,1,1,3
Zarraga,UDINESE,Udinese,C,1,1,4,1,1,4
Bayo V.,UDINESE,Udinese,A,1,1,3,1,1,3
Grandi,VENEZIA,Venezia,P,1,1,1,1,1,1
Pozzi,VENEZIA,Venezia,P,1,1,1,1,1,1
Gomes,VENEZIA,Venezia,D,1,1,1,1,1,1
Bjarkason,VENEZIA,Venezia,C,1,1,3,1,1,3
Dagasso,VENEZIA,Venezia,C,1,1,1,1,1,1
Lisman,VENEZIA,Venezia,A,1,1,1,1,1,1
Lauberbach,VENEZIA,Venezia,A,1,1,1,1,1,1
Vismara,ATALANTA,Atalanta,P,1,1,1,1,1,1
Satalino,SASSUOLO,Sassuolo,P,1,1,1,1,1,1
Penev,LECCE,Lecce,P,1,1,1,1,1,1
