Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,RigoriSegnati,RigoriTirati,RigoriParati,Assist,Ammonizioni,Espulsioni
Di Francesco F.,LEC,1.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traore' C.,MIL,1.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biraschi,GEN,1.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinez L.,INT,33.0,6.65,8.73,24.0,0.0,2.0,3.0,0.0,2.0,5.0,0.0
Dybala,ROM,27.0,6.48,8.2,13.0,0.0,7.0,7.0,0.0,9.0,3.0,0.0
Berardi,SAS,17.0,6.53,8.06,9.0,0.0,5.0,5.0,0.0,2.0,6.0,0.0
Scamacca,ATA,28.0,6.41,7.89,12.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
Osimhen,NAP,25.0,6.36,7.88,15.0,0.0,3.0,5.0,0.0,2.0,4.0,1.0
Thuram,INT,35.0,6.54,7.81,13.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0
Giroud,MIL,34.0,6.26,7.71,15.0,0.0,4.0,5.0,0.0,8.0,0.0,1.0
Calhanoglu,INT,32.0,6.47,7.7,13.0,0.0,10.0,10.0,0.0,3.0,5.0,0.0
Niang,EMP,14.0,6.36,7.68,6.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0
Gudmundsson A.,GEN,35.0,6.47,7.64,14.0,0.0,4.0,5.0,0.0,4.0,4.0,0.0
Lookman,ATA,30.0,6.37,7.63,11.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0
Koopmeiners,ATA,34.0,6.4,7.53,12.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0
Pulisic,MIL,36.0,6.33,7.5,12.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0
Vlahovic,JUV,33.0,6.18,7.42,16.0,0.0,2.0,4.0,0.0,3.0,6.0,1.0
Leao,MIL,33.0,6.39,7.41,9.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0
Noslin,VER,17.0,6.35,7.41,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
Gonzalez N.,FIO,29.0,6.31,7.4,12.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0
Zirkzee,BOL,34.0,6.43,7.4,11.0,0.0,2.0,2.0,0.0,4.0,8.0,0.0
De Ketelaere,ATA,33.0,6.32,7.39,10.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0
Zapata D.,TOR,37.0,6.26,7.36,13.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
Vitinha O.,GEN,6.0,6.42,7.33,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Castrovilli,FIO,5.0,6.3,7.3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kvaratskhelia,NAP,34.0,6.25,7.25,11.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0
Lukaku,ROM,32.0,6.09,7.2,13.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0
Radonjic,TOR,8.0,6.06,7.19,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dimarco,INT,30.0,6.48,7.18,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Chiesa,JUV,32.0,6.28,7.17,9.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
Simic J.,MIL,3.0,6.17,7.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belotti,FIO,24.0,6.21,7.1,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Soule',FRO,36.0,6.29,7.07,11.0,0.0,5.0,6.0,0.0,2.0,4.0,0.0
Orsolini,BOL,31.0,6.16,7.06,10.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0
Pavoletti,CAG,14.0,6.25,7.04,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Okafor,MIL,24.0,6.21,7.02,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Odgaard,BOL,9.0,6.22,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Frattesi,INT,28.0,6.27,7.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
Bisseck,INT,11.0,6.36,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Maldini,MON,16.0,6.19,6.97,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Pellegrini Lo.,ROM,29.0,6.14,6.95,8.0,0.0,1.0,1.0,0.0,3.0,7.0,0.0
Ferguson,BOL,31.0,6.39,6.94,6.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0
Zarraga,UDI,7.0,6.07,6.93,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colpani,MON,38.0,6.2,6.92,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Arnautovic,INT,24.0,6.15,6.9,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Bonaventura,FIO,31.0,6.21,6.89,8.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0
Politano,NAP,37.0,6.19,6.89,8.0,0.0,2.0,3.0,0.0,7.0,2.0,1.0
Pasalic,ATA,33.0,6.21,6.89,6.0,0.0,2.0,2.0,0.0,6.0,3.0,0.0
Gaetano,CAG,17.0,6.12,6.88,5.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
Candreva,SAL,34.0,6.21,6.87,6.0,0.0,1.0,1.0,0.0,7.0,5.0,0.0
Ngonge,NAP,28.0,6.14,6.86,7.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0
Fabbian,BOL,22.0,6.23,6.86,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Luis Alberto,LAZ,32.0,6.27,6.84,5.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0
Thauvin,UDI,25.0,6.2,6.84,5.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0
El Azzouzi,BOL,9.0,6.11,6.83,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Simy,SAL,11.0,6.0,6.82,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miranchuk,ATA,22.0,6.2,6.82,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
Zurkowski,EMP,13.0,6.04,6.81,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Jovic,MIL,19.0,5.89,6.79,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
Harroui,FRO,17.0,6.15,6.79,3.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0
Retegui,GEN,29.0,6.09,6.79,7.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0
Vecino,LAZ,25.0,6.16,6.78,6.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
Zaccagni,LAZ,28.0,6.23,6.77,6.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
Azmoun,ROM,15.0,6.23,6.77,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Sanchez,INT,19.0,6.18,6.76,2.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0
Cheddira,FRO,31.0,6.05,6.76,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Luvumbo,CAG,30.0,6.27,6.75,4.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Lucca,UDI,34.0,6.04,6.75,8.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0
Samardzic,UDI,33.0,6.18,6.74,6.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0
Aouar,ROM,13.0,5.92,6.73,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Viola,CAG,25.0,6.2,6.7,5.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0
Pinamonti,SAS,37.0,5.92,6.7,11.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0
Muriel,ATA,13.0,6.15,6.69,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Loftus-Cheek,MIL,29.0,6.12,6.69,6.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
Mkhitaryan,INT,36.0,6.4,6.68,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0
De Silvestri,BOL,12.0,6.17,6.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djuric,MON,36.0,6.08,6.67,9.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0
Ekuban,GEN,23.0,6.09,6.65,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Beltran L.,FIO,30.0,6.12,6.65,6.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0
Malinovskyi,GEN,23.0,6.22,6.63,4.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
Zortea,FRO,19.0,6.16,6.63,2.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
Barak,FIO,13.0,6.08,6.62,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Davis K.,UDI,5.0,6.2,6.6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Felipe Anderson,LAZ,38.0,6.08,6.59,5.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0
